subj,block,goals,perfs,emots
39,20,6,5,2.0
40,1,7,8,1.3333333333333333
40,2,8,8,1.6666666666666667
40,3,8,8,0.6666666666666666
40,4,8,11,1.6666666666666667
40,5,9,12,1.6666666666666667
40,6,10,11,1.3333333333333333
40,7,10,12,1.6666666666666667
40,8,11,12,1.3333333333333333
40,9,11,12,0.6666666666666666
40,10,12,12,1.3333333333333333
40,11,12,10,0.0
40,12,11,9,0.6666666666666666
40,13,10,10,1.0
40,14,10,10,1.3333333333333333
40,15,10,12,1.0
40,16,11,12,1.3333333333333333
40,17,11,10,1.0
40,18,10,11,1.3333333333333333
40,19,11,11,1.3333333333333333
40,20,11,10,1.0
41,1,8,6,1.6666666666666667
41,2,8,8,2.6666666666666665
41,3,8,7,2.333333333333333
41,4,7,8,2.333333333333333
41,5,7,8,2.6666666666666665
41,6,7,7,2.6666666666666665
41,7,7,8,2.6666666666666665
41,8,7,7,2.6666666666666665
41,9,7,8,2.6666666666666665
41,10,7,7,2.333333333333333
41,11,7,9,2.333333333333333
41,12,7,7,2.333333333333333
41,13,7,7,2.333333333333333
41,14,7,7,2.333333333333333
41,15,7,8,2.333333333333333
41,16,7,7,2.333333333333333
41,17,7,7,2.333333333333333
41,18,7,8,2.333333333333333
41,19,7,8,2.0
41,20,8,8,3.0
42,1,8,10,1.6666666666666667
42,2,8,10,1.6666666666666667
42,3,8,10,1.6666666666666667
42,4,8,11,1.3333333333333333
42,5,8,9,0.3333333333333333
42,6,8,11,1.0
42,7,8,11,1.3333333333333333
42,8,8,10,1.0
42,9,8,11,1.0
42,10,8,9,-0.3333333333333333
42,11,8,11,1.0
42,12,8,10,1.3333333333333333
42,13,8,11,1.3333333333333333
42,14,8,10,1.3333333333333333
42,15,8,10,1.6666666666666667
42,16,8,11,1.0
42,17,9,12,1.3333333333333333
42,18,9,11,1.3333333333333333
42,19,9,11,1.6666666666666667
42,20,9,12,2.6666666666666665
43,1,9,12,1.3333333333333333
43,2,10,13,1.3333333333333333
43,3,9,12,1.3333333333333333
43,4,9,13,1.3333333333333333
43,5,10,10,1.3333333333333333
43,6,10,14,1.3333333333333333
43,7,10,11,1.0
43,8,10,15,1.3333333333333333
43,9,10,14,1.3333333333333333
43,10,11,15,1.3333333333333333
43,11,11,16,1.3333333333333333
43,12,12,12,1.3333333333333333
43,13,11,14,1.3333333333333333
43,14,11,13,1.3333333333333333
43,15,11,14,1.6666666666666667
43,16,11,13,1.6666666666666667
43,17,11,14,1.6666666666666667
43,18,11,10,1.6666666666666667
43,19,11,13,1.6666666666666667
43,20,11,12,2.0
44,1,4,5,2.6666666666666665
44,2,5,2,1.3333333333333333
44,3,4,4,2.0
44,4,4,5,2.0
44,5,4,5,2.0
44,6,4,4,2.0
44,7,4,5,2.0
44,8,5,5,2.0
44,9,5,5,2.0
44,10,5,3,1.6666666666666667
44,11,5,4,1.6666666666666667
44,12,4,3,1.6666666666666667
44,13,4,4,2.0
44,14,4,5,2.0
44,15,4,5,2.0
44,16,4,4,2.0
44,17,4,4,2.0
44,18,4,5,2.0
44,19,4,5,2.0
44,20,4,3,2.0
45,1,20,5,0.6666666666666666
45,2,5,7,1.0
45,3,6,9,1.3333333333333333
45,4,8,8,1.3333333333333333
45,5,9,9,1.3333333333333333
45,6,10,9,1.0
45,7,10,10,1.0
45,8,10,8,0.3333333333333333
45,9,8,8,1.0
45,10,8,7,0.6666666666666666
45,11,8,9,1.0
45,12,8,8,1.0
45,13,8,8,0.6666666666666666
45,14,8,10,1.3333333333333333
45,15,8,8,1.3333333333333333
45,16,8,9,1.3333333333333333
45,17,8,8,1.3333333333333333
45,18,8,10,1.6666666666666667
45,19,8,11,1.6666666666666667
45,20,8,10,1.6666666666666667
46,1,7,8,0.3333333333333333
46,2,7,7,0.3333333333333333
46,3,6,7,-0.3333333333333333
46,4,7,7,0.6666666666666666
46,5,7,8,0.0
46,6,7,8,-0.3333333333333333
46,7,7,6,-0.3333333333333333
46,8,7,7,0.0
46,9,7,7,0.0
46,10,7,7,0.0
46,11,7,7,-0.3333333333333333
46,12,7,7,-0.3333333333333333
46,13,7,5,-0.3333333333333333
